,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-01-27T00:00:00.000000000],0.954,0.177,0.761,1.221,0.028,0.016,38.0,57.0,1.01
r_t[2020-01-28T00:00:00.000000000],0.954,0.177,0.761,1.221,0.028,0.016,38.0,57.0,1.01
r_t[2020-01-29T00:00:00.000000000],0.954,0.177,0.761,1.221,0.028,0.016,38.0,57.0,1.01
r_t[2020-01-30T00:00:00.000000000],0.951,0.174,0.7,1.138,0.029,0.017,37.0,49.0,1.02
r_t[2020-01-31T00:00:00.000000000],0.951,0.174,0.7,1.138,0.029,0.017,37.0,49.0,1.02
r_t[2020-02-01T00:00:00.000000000],0.951,0.174,0.7,1.138,0.029,0.017,37.0,49.0,1.02
r_t[2020-02-02T00:00:00.000000000],0.953,0.175,0.712,1.151,0.03,0.018,35.0,46.0,1.01
r_t[2020-02-03T00:00:00.000000000],0.953,0.175,0.712,1.151,0.03,0.018,35.0,46.0,1.01
r_t[2020-02-04T00:00:00.000000000],0.953,0.175,0.712,1.151,0.03,0.018,35.0,46.0,1.01
r_t[2020-02-05T00:00:00.000000000],0.948,0.172,0.742,1.154,0.031,0.021,30.0,46.0,1.02
r_t[2020-02-06T00:00:00.000000000],0.948,0.172,0.742,1.154,0.031,0.021,30.0,46.0,1.02
r_t[2020-02-07T00:00:00.000000000],0.948,0.172,0.742,1.154,0.031,0.021,30.0,46.0,1.02
r_t[2020-02-08T00:00:00.000000000],0.946,0.168,0.726,1.103,0.031,0.019,27.0,46.0,1.02
r_t[2020-02-09T00:00:00.000000000],0.946,0.168,0.726,1.103,0.031,0.019,27.0,46.0,1.02
r_t[2020-02-10T00:00:00.000000000],0.946,0.168,0.726,1.103,0.031,0.019,27.0,46.0,1.02
r_t[2020-02-11T00:00:00.000000000],0.943,0.166,0.746,1.145,0.032,0.018,25.0,46.0,1.01
r_t[2020-02-12T00:00:00.000000000],0.943,0.166,0.746,1.145,0.032,0.018,25.0,46.0,1.01
r_t[2020-02-13T00:00:00.000000000],0.943,0.166,0.746,1.145,0.032,0.018,25.0,46.0,1.01
r_t[2020-02-14T00:00:00.000000000],0.947,0.162,0.757,1.16,0.03,0.016,28.0,46.0,1.02
r_t[2020-02-15T00:00:00.000000000],0.947,0.162,0.757,1.16,0.03,0.016,28.0,46.0,1.02
r_t[2020-02-16T00:00:00.000000000],0.947,0.162,0.757,1.16,0.03,0.016,28.0,46.0,1.02
r_t[2020-02-17T00:00:00.000000000],0.948,0.168,0.748,1.183,0.031,0.016,27.0,46.0,1.03
r_t[2020-02-18T00:00:00.000000000],0.948,0.168,0.748,1.183,0.031,0.016,27.0,46.0,1.03
r_t[2020-02-19T00:00:00.000000000],0.948,0.168,0.748,1.183,0.031,0.016,27.0,46.0,1.03
r_t[2020-02-20T00:00:00.000000000],0.95,0.169,0.694,1.138,0.031,0.016,29.0,55.0,1.0
r_t[2020-02-21T00:00:00.000000000],0.95,0.169,0.694,1.138,0.031,0.016,29.0,55.0,1.0
r_t[2020-02-22T00:00:00.000000000],0.95,0.169,0.694,1.138,0.031,0.016,29.0,55.0,1.0
r_t[2020-02-23T00:00:00.000000000],0.953,0.165,0.715,1.137,0.03,0.016,29.0,55.0,1.01
r_t[2020-02-24T00:00:00.000000000],0.953,0.165,0.715,1.137,0.03,0.016,29.0,55.0,1.01
r_t[2020-02-25T00:00:00.000000000],0.953,0.165,0.715,1.137,0.03,0.016,29.0,55.0,1.01
r_t[2020-02-26T00:00:00.000000000],0.954,0.168,0.754,1.18,0.031,0.017,28.0,41.0,1.02
r_t[2020-02-27T00:00:00.000000000],0.954,0.168,0.754,1.18,0.031,0.017,28.0,41.0,1.02
r_t[2020-02-28T00:00:00.000000000],0.954,0.168,0.754,1.18,0.031,0.017,28.0,41.0,1.02
r_t[2020-02-29T00:00:00.000000000],0.947,0.166,0.785,1.193,0.031,0.019,29.0,43.0,1.01
r_t[2020-03-01T00:00:00.000000000],0.947,0.166,0.785,1.193,0.031,0.019,29.0,43.0,1.01
r_t[2020-03-02T00:00:00.000000000],0.947,0.166,0.785,1.193,0.031,0.019,29.0,43.0,1.01
r_t[2020-03-03T00:00:00.000000000],0.949,0.169,0.744,1.158,0.031,0.019,28.0,43.0,1.01
r_t[2020-03-04T00:00:00.000000000],0.949,0.169,0.744,1.158,0.031,0.019,28.0,43.0,1.01
r_t[2020-03-05T00:00:00.000000000],0.949,0.169,0.744,1.158,0.031,0.019,28.0,43.0,1.01
r_t[2020-03-06T00:00:00.000000000],0.94,0.169,0.706,1.135,0.031,0.018,29.0,55.0,1.01
r_t[2020-03-07T00:00:00.000000000],0.94,0.169,0.706,1.135,0.031,0.018,29.0,55.0,1.01
r_t[2020-03-08T00:00:00.000000000],0.94,0.169,0.706,1.135,0.031,0.018,29.0,55.0,1.01
r_t[2020-03-09T00:00:00.000000000],0.942,0.166,0.717,1.121,0.03,0.016,29.0,55.0,1.01
r_t[2020-03-10T00:00:00.000000000],0.942,0.166,0.717,1.121,0.03,0.016,29.0,55.0,1.01
r_t[2020-03-11T00:00:00.000000000],0.942,0.166,0.717,1.121,0.03,0.016,29.0,55.0,1.01
r_t[2020-03-12T00:00:00.000000000],0.938,0.163,0.703,1.087,0.028,0.016,32.0,78.0,1.01
r_t[2020-03-13T00:00:00.000000000],0.938,0.163,0.703,1.087,0.028,0.016,32.0,78.0,1.01
r_t[2020-03-14T00:00:00.000000000],0.938,0.163,0.703,1.087,0.028,0.016,32.0,78.0,1.01
r_t[2020-03-15T00:00:00.000000000],0.939,0.162,0.728,1.094,0.028,0.016,32.0,78.0,1.01
r_t[2020-03-16T00:00:00.000000000],0.939,0.162,0.728,1.094,0.028,0.016,32.0,78.0,1.01
r_t[2020-03-17T00:00:00.000000000],0.939,0.162,0.728,1.094,0.028,0.016,32.0,78.0,1.01
r_t[2020-03-18T00:00:00.000000000],0.938,0.157,0.74,1.091,0.028,0.016,31.0,78.0,1.0
r_t[2020-03-19T00:00:00.000000000],0.938,0.157,0.74,1.091,0.028,0.016,31.0,78.0,1.0
r_t[2020-03-20T00:00:00.000000000],0.938,0.157,0.74,1.091,0.028,0.016,31.0,78.0,1.0
r_t[2020-03-21T00:00:00.000000000],0.936,0.163,0.719,1.076,0.028,0.017,31.0,78.0,1.0
r_t[2020-03-22T00:00:00.000000000],0.936,0.163,0.719,1.076,0.028,0.017,31.0,78.0,1.0
r_t[2020-03-23T00:00:00.000000000],0.936,0.163,0.719,1.076,0.028,0.017,31.0,78.0,1.0
r_t[2020-03-24T00:00:00.000000000],0.931,0.158,0.733,1.1,0.027,0.016,34.0,70.0,1.0
r_t[2020-03-25T00:00:00.000000000],0.931,0.158,0.733,1.1,0.027,0.016,34.0,70.0,1.0
r_t[2020-03-26T00:00:00.000000000],0.931,0.158,0.733,1.1,0.027,0.016,34.0,70.0,1.0
r_t[2020-03-27T00:00:00.000000000],0.933,0.16,0.759,1.137,0.028,0.017,33.0,60.0,1.0
r_t[2020-03-28T00:00:00.000000000],0.933,0.16,0.759,1.137,0.028,0.017,33.0,60.0,1.0
r_t[2020-03-29T00:00:00.000000000],0.933,0.16,0.759,1.137,0.028,0.017,33.0,60.0,1.0
r_t[2020-03-30T00:00:00.000000000],0.93,0.158,0.761,1.117,0.026,0.02,33.0,57.0,1.0
r_t[2020-03-31T00:00:00.000000000],0.93,0.158,0.761,1.117,0.026,0.02,33.0,57.0,1.0
r_t[2020-04-01T00:00:00.000000000],0.93,0.158,0.761,1.117,0.026,0.02,33.0,57.0,1.0
r_t[2020-04-02T00:00:00.000000000],0.928,0.161,0.747,1.093,0.026,0.024,32.0,80.0,1.0
r_t[2020-04-03T00:00:00.000000000],0.928,0.161,0.747,1.093,0.026,0.024,32.0,80.0,1.0
r_t[2020-04-04T00:00:00.000000000],0.928,0.161,0.747,1.093,0.026,0.024,32.0,80.0,1.0
r_t[2020-04-05T00:00:00.000000000],0.924,0.153,0.73,1.07,0.025,0.02,34.0,74.0,1.0
r_t[2020-04-06T00:00:00.000000000],0.924,0.153,0.73,1.07,0.025,0.02,34.0,74.0,1.0
r_t[2020-04-07T00:00:00.000000000],0.924,0.153,0.73,1.07,0.025,0.02,34.0,74.0,1.0
r_t[2020-04-08T00:00:00.000000000],0.92,0.146,0.784,1.1,0.023,0.018,39.0,116.0,1.0
r_t[2020-04-09T00:00:00.000000000],0.92,0.146,0.784,1.1,0.023,0.018,39.0,116.0,1.0
r_t[2020-04-10T00:00:00.000000000],0.92,0.146,0.784,1.1,0.023,0.018,39.0,116.0,1.0
r_t[2020-04-11T00:00:00.000000000],0.922,0.142,0.796,1.111,0.021,0.019,40.0,81.0,0.99
r_t[2020-04-12T00:00:00.000000000],0.922,0.142,0.796,1.111,0.021,0.019,40.0,81.0,0.99
r_t[2020-04-13T00:00:00.000000000],0.922,0.142,0.796,1.111,0.021,0.019,40.0,81.0,0.99
r_t[2020-04-14T00:00:00.000000000],0.915,0.145,0.745,1.08,0.022,0.019,40.0,81.0,1.0
r_t[2020-04-15T00:00:00.000000000],0.915,0.145,0.745,1.08,0.022,0.019,40.0,81.0,1.0
r_t[2020-04-16T00:00:00.000000000],0.915,0.145,0.745,1.08,0.022,0.019,40.0,81.0,1.0
r_t[2020-04-17T00:00:00.000000000],0.909,0.135,0.758,1.058,0.021,0.014,38.0,80.0,0.99
r_t[2020-04-18T00:00:00.000000000],0.909,0.135,0.758,1.058,0.021,0.014,38.0,80.0,0.99
r_t[2020-04-19T00:00:00.000000000],0.909,0.135,0.758,1.058,0.021,0.014,38.0,80.0,0.99
r_t[2020-04-20T00:00:00.000000000],0.9,0.131,0.787,1.076,0.02,0.017,39.0,81.0,1.0
r_t[2020-04-21T00:00:00.000000000],0.9,0.131,0.787,1.076,0.02,0.017,39.0,81.0,1.0
r_t[2020-04-22T00:00:00.000000000],0.9,0.131,0.787,1.076,0.02,0.017,39.0,81.0,1.0
r_t[2020-04-23T00:00:00.000000000],0.892,0.129,0.726,1.008,0.02,0.016,38.0,73.0,1.0
r_t[2020-04-24T00:00:00.000000000],0.892,0.129,0.726,1.008,0.02,0.016,38.0,73.0,1.0
r_t[2020-04-25T00:00:00.000000000],0.892,0.129,0.726,1.008,0.02,0.016,38.0,73.0,1.0
r_t[2020-04-26T00:00:00.000000000],0.889,0.128,0.699,0.987,0.02,0.015,39.0,73.0,1.05
r_t[2020-04-27T00:00:00.000000000],0.889,0.128,0.699,0.987,0.02,0.015,39.0,73.0,1.05
r_t[2020-04-28T00:00:00.000000000],0.889,0.128,0.699,0.987,0.02,0.015,39.0,73.0,1.05
r_t[2020-04-29T00:00:00.000000000],0.885,0.123,0.742,1.029,0.019,0.012,42.0,73.0,1.01
r_t[2020-04-30T00:00:00.000000000],0.885,0.123,0.742,1.029,0.019,0.012,42.0,73.0,1.01
r_t[2020-05-01T00:00:00.000000000],0.885,0.123,0.742,1.029,0.019,0.012,42.0,73.0,1.01
r_t[2020-05-02T00:00:00.000000000],0.884,0.123,0.751,1.043,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-03T00:00:00.000000000],0.884,0.123,0.751,1.043,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-04T00:00:00.000000000],0.884,0.123,0.751,1.043,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-05T00:00:00.000000000],0.88,0.127,0.725,1.012,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-06T00:00:00.000000000],0.88,0.127,0.725,1.012,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-07T00:00:00.000000000],0.88,0.127,0.725,1.012,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-08T00:00:00.000000000],0.88,0.126,0.74,1.029,0.019,0.011,39.0,73.0,1.05
r_t[2020-05-09T00:00:00.000000000],0.88,0.126,0.74,1.029,0.019,0.011,39.0,73.0,1.05
r_t[2020-05-10T00:00:00.000000000],0.88,0.126,0.74,1.029,0.019,0.011,39.0,73.0,1.05
r_t[2020-05-11T00:00:00.000000000],0.881,0.13,0.702,0.996,0.022,0.013,34.0,103.0,1.09
r_t[2020-05-12T00:00:00.000000000],0.881,0.13,0.702,0.996,0.022,0.013,34.0,103.0,1.09
r_t[2020-05-13T00:00:00.000000000],0.881,0.13,0.702,0.996,0.022,0.013,34.0,103.0,1.09
r_t[2020-05-14T00:00:00.000000000],0.881,0.133,0.703,1.001,0.022,0.013,33.0,114.0,1.07
r_t[2020-05-15T00:00:00.000000000],0.881,0.133,0.703,1.001,0.022,0.013,33.0,114.0,1.07
r_t[2020-05-16T00:00:00.000000000],0.881,0.133,0.703,1.001,0.022,0.013,33.0,114.0,1.07
r_t[2020-05-17T00:00:00.000000000],0.875,0.132,0.687,0.98,0.022,0.015,32.0,73.0,1.07
r_t[2020-05-18T00:00:00.000000000],0.875,0.132,0.687,0.98,0.022,0.015,32.0,73.0,1.07
r_t[2020-05-19T00:00:00.000000000],0.875,0.132,0.687,0.98,0.022,0.015,32.0,73.0,1.07
r_t[2020-05-20T00:00:00.000000000],0.871,0.126,0.744,0.996,0.022,0.012,31.0,73.0,1.06
r_t[2020-05-21T00:00:00.000000000],0.871,0.126,0.744,0.996,0.022,0.012,31.0,73.0,1.06
r_t[2020-05-22T00:00:00.000000000],0.871,0.126,0.744,0.996,0.022,0.012,31.0,73.0,1.06
r_t[2020-05-23T00:00:00.000000000],0.868,0.129,0.719,0.987,0.024,0.013,29.0,71.0,1.04
r_t[2020-05-24T00:00:00.000000000],0.868,0.129,0.719,0.987,0.024,0.013,29.0,71.0,1.04
r_t[2020-05-25T00:00:00.000000000],0.868,0.129,0.719,0.987,0.024,0.013,29.0,71.0,1.04
r_t[2020-05-26T00:00:00.000000000],0.868,0.133,0.677,1.01,0.024,0.014,31.0,67.0,1.03
r_t[2020-05-27T00:00:00.000000000],0.868,0.133,0.677,1.01,0.024,0.014,31.0,67.0,1.03
r_t[2020-05-28T00:00:00.000000000],0.868,0.133,0.677,1.01,0.024,0.014,31.0,67.0,1.03
r_t[2020-05-29T00:00:00.000000000],0.866,0.137,0.684,1.002,0.025,0.014,31.0,73.0,1.05
r_t[2020-05-30T00:00:00.000000000],0.866,0.137,0.684,1.002,0.025,0.014,31.0,73.0,1.05
r_t[2020-05-31T00:00:00.000000000],0.866,0.137,0.684,1.002,0.025,0.014,31.0,73.0,1.05
r_t[2020-06-01T00:00:00.000000000],0.866,0.137,0.684,0.98,0.025,0.015,31.0,73.0,1.04
r_t[2020-06-02T00:00:00.000000000],0.866,0.137,0.684,0.98,0.025,0.015,31.0,73.0,1.04
r_t[2020-06-03T00:00:00.000000000],0.866,0.137,0.684,0.98,0.025,0.015,31.0,73.0,1.04
r_t[2020-06-04T00:00:00.000000000],0.862,0.143,0.685,0.986,0.027,0.017,28.0,72.0,1.04
r_t[2020-06-05T00:00:00.000000000],0.862,0.143,0.685,0.986,0.027,0.017,28.0,72.0,1.04
r_t[2020-06-06T00:00:00.000000000],0.862,0.143,0.685,0.986,0.027,0.017,28.0,72.0,1.04
r_t[2020-06-07T00:00:00.000000000],0.855,0.143,0.691,1.005,0.027,0.017,27.0,72.0,1.05
r_t[2020-06-08T00:00:00.000000000],0.855,0.143,0.691,1.005,0.027,0.017,27.0,72.0,1.05
r_t[2020-06-09T00:00:00.000000000],0.855,0.143,0.691,1.005,0.027,0.017,27.0,72.0,1.05
r_t[2020-06-10T00:00:00.000000000],0.857,0.141,0.67,0.968,0.029,0.016,24.0,42.0,1.07
r_t[2020-06-11T00:00:00.000000000],0.857,0.141,0.67,0.968,0.029,0.016,24.0,42.0,1.07
r_t[2020-06-12T00:00:00.000000000],0.857,0.141,0.67,0.968,0.029,0.016,24.0,42.0,1.07
r_t[2020-06-13T00:00:00.000000000],0.861,0.14,0.656,0.962,0.029,0.015,25.0,57.0,1.07
r_t[2020-06-14T00:00:00.000000000],0.861,0.14,0.656,0.962,0.029,0.015,25.0,57.0,1.07
r_t[2020-06-15T00:00:00.000000000],0.861,0.14,0.656,0.962,0.029,0.015,25.0,57.0,1.07
r_t[2020-06-16T00:00:00.000000000],0.855,0.141,0.699,1.004,0.028,0.015,26.0,46.0,1.07
r_t[2020-06-17T00:00:00.000000000],0.855,0.141,0.699,1.004,0.028,0.015,26.0,46.0,1.07
r_t[2020-06-18T00:00:00.000000000],0.855,0.141,0.699,1.004,0.028,0.015,26.0,46.0,1.07
r_t[2020-06-19T00:00:00.000000000],0.854,0.142,0.689,1.011,0.027,0.016,30.0,58.0,1.05
r_t[2020-06-20T00:00:00.000000000],0.854,0.142,0.689,1.011,0.027,0.016,30.0,58.0,1.05
r_t[2020-06-21T00:00:00.000000000],0.854,0.142,0.689,1.011,0.027,0.016,30.0,58.0,1.05
r_t[2020-06-22T00:00:00.000000000],0.85,0.138,0.69,1.01,0.028,0.015,25.0,80.0,1.08
r_t[2020-06-23T00:00:00.000000000],0.85,0.138,0.69,1.01,0.028,0.015,25.0,80.0,1.08
r_t[2020-06-24T00:00:00.000000000],0.85,0.138,0.69,1.01,0.028,0.015,25.0,80.0,1.08
r_t[2020-06-25T00:00:00.000000000],0.851,0.14,0.71,1.033,0.029,0.015,24.0,77.0,1.09
r_t[2020-06-26T00:00:00.000000000],0.851,0.14,0.71,1.033,0.029,0.015,24.0,77.0,1.09
r_t[2020-06-27T00:00:00.000000000],0.851,0.14,0.71,1.033,0.029,0.015,24.0,77.0,1.09
r_t[2020-06-28T00:00:00.000000000],0.844,0.136,0.665,0.983,0.03,0.014,23.0,77.0,1.09
r_t[2020-06-29T00:00:00.000000000],0.844,0.136,0.665,0.983,0.03,0.014,23.0,77.0,1.09
r_t[2020-06-30T00:00:00.000000000],0.844,0.136,0.665,0.983,0.03,0.014,23.0,77.0,1.09
r_t[2020-07-01T00:00:00.000000000],0.847,0.142,0.694,1.025,0.031,0.015,23.0,78.0,1.08
r_t[2020-07-02T00:00:00.000000000],0.847,0.142,0.694,1.025,0.031,0.015,23.0,78.0,1.08
r_t[2020-07-03T00:00:00.000000000],0.847,0.142,0.694,1.025,0.031,0.015,23.0,78.0,1.08
r_t[2020-07-04T00:00:00.000000000],0.848,0.146,0.634,0.959,0.031,0.017,25.0,78.0,1.07
